"","date","region","Driving","Walking","Detected State","Cases","Recovered","Deceased","Migrated_Other","Migrated"
"70",2020-06-07,"Hyderabad",69.62,72.86,"Telangana",132,NA,NA,NA,NA
"71",2020-06-09,"Hyderabad",69.97,65.26,"Telangana",143,NA,NA,NA,NA
"72",2020-06-10,"Hyderabad",68.98,63.48,"Telangana",143,NA,NA,NA,NA
"73",2020-06-11,"Hyderabad",68.96,70.55,"Telangana",175,NA,NA,NA,NA
"74",2020-06-12,"Hyderabad",70.95,79.16,"Telangana",133,NA,NA,NA,NA
"75",2020-06-13,"Hyderabad",77.24,80.52,"Telangana",179,NA,NA,NA,NA
"76",2020-06-14,"Hyderabad",72.2,66.86,"Telangana",195,NA,NA,NA,NA
"77",2020-06-15,"Hyderabad",69.12,70.96,"Telangana",189,NA,NA,NA,NA
"78",2020-06-16,"Hyderabad",65.07,69.18,"Telangana",165,NA,NA,NA,NA
"79",2020-06-17,"Hyderabad",68.27,68.65,"Telangana",214,NA,NA,NA,NA
"80",2020-06-18,"Hyderabad",65.99,72.33,"Telangana",302,NA,NA,NA,NA
"81",2020-06-19,"Hyderabad",70.2,77.73,"Telangana",329,NA,NA,NA,NA
